samples,threshold,slice_count,flip_mean_macro,flip_mean_median_slice,flip_weighted_median_macro,dice_macro,erosion_pixels_total,addition_pixels_total,symmetric_difference_total,pherc1447_anti_blob_passed,pherc1447_foreground_ratio_vs_v15,pherc1447_reference_recall,locked_component_matches
1024,0.25,16,0.217944,0.18989250000000002,0.5957543125,0.7892907829990581,3242,1864,5106,,,,
1024,0.38,16,0.226402375,0.195049,0.59997475,0.7680269423466142,3916,1379,5295,False,1.2848004632283676,0.9907635201899005,16
1024,0.39,16,0.2279798125,0.1976505,0.5994301875,0.7654758066225145,3974,1356,5330,False,1.2196532124944905,0.9874931221534358,16
1024,0.4,16,0.2284246875,0.197696,0.60034425,0.7640247967069305,4015,1327,5342,False,1.1616452385136362,0.9826498218241634,16
1024,0.41,16,0.228992125,0.19849499999999998,0.6004518125,0.7623886208387542,4062,1291,5353,False,1.1097034531831107,0.9753009688041046,16
1024,0.42,16,0.23022600000000001,0.199549,0.6010019375,0.7597648600289597,4120,1264,5384,True,1.06288512339793,0.9642035093581924,15
1024,0.43,16,0.23161525,0.199046,0.601687875,0.7571082323450605,4180,1235,5415,True,1.0204635740603638,0.949170193213474,15
1024,0.44,16,0.2334056875,0.20035599999999998,0.6019236875,0.7542107523915995,4237,1218,5455,True,0.9826901526521841,0.9308405520714201,15
1024,0.45,16,0.2342633125,0.199969,0.6022026875000001,0.7522412590500406,4281,1193,5474,True,0.9484521604360339,0.9101882873513881,15
1024,0.46,16,0.2355229375,0.2007675,0.6025215625,0.7499538189089742,4326,1175,5501,True,0.9173830189929392,0.8886660290554809,15
1024,0.47,16,0.237148375,0.20306950000000001,0.603058875,0.7469006148740247,4391,1144,5535,True,0.8885731241123617,0.866659800823325,15
1024,0.48,16,0.23846206250000002,0.2058225,0.6046868125,0.744177233612015,4443,1122,5565,True,0.8622010837469644,0.8453600822748891,15
1024,0.49,16,0.23967375,0.207319,0.60638675,0.7415714105424981,4494,1101,5595,True,0.8380292340887682,0.8248662600935099,15
